Date,Close,Volume
2022-01-03,2403.85009765625,2502073
2022-01-04,2458.10009765625,5006225
2022-01-05,2469.60009765625,5373618
2022-01-06,2416.5,6667483
2022-01-07,2436.0,6051239
2022-01-10,2438.0,4267365
2022-01-11,2455.550048828125,7478681
2022-01-12,2521.10009765625,6830402
2022-01-13,2535.300048828125,5471871
2022-01-14,2539.0,9197773
2022-01-17,2552.25,3708822
2022-01-18,2521.800048828125,2868235
2022-01-19,2521.60009765625,4502155
2022-01-20,2477.449951171875,7612203
2022-01-21,2477.85009765625,6155759
2022-01-24,2377.89990234375,10092511
2022-01-25,2373.25,11311456
2022-01-27,2338.10009765625,9239426
2022-01-28,2335.85009765625,6769154
2022-01-31,2386.60009765625,5604308
2022-02-01,2378.699951171875,6092033
2022-02-02,2383.550048828125,4623163
2022-02-03,2352.75,4417864
2022-02-04,2331.300048828125,5104761
2022-02-07,2317.10009765625,4944725
2022-02-08,2356.050048828125,5566080
2022-02-09,2383.5,5300891
2022-02-10,2381.050048828125,5752361
2022-02-11,2376.39990234375,7357863
2022-02-14,2338.550048828125,4947109
2022-02-15,2417.949951171875,5174646
2022-02-16,2412.949951171875,4796294
2022-02-17,2443.5,5931774
2022-02-18,2424.39990234375,3126873
2022-02-21,2399.89990234375,5125968
2022-02-22,2389.0,6227901
2022-02-23,2374.050048828125,3373615
2022-02-24,2255.75,11466725
2022-02-25,2283.949951171875,6724094
2022-02-28,2359.550048828125,9828768
2022-03-02,2398.550048828125,9909226
2022-03-03,2378.300048828125,4701183
2022-03-04,2325.550048828125,4986814
2022-03-07,2239.550048828125,8299295
2022-03-08,2235.5,9825043
2022-03-09,2354.10009765625,9421163
2022-03-10,2392.25,8297995
2022-03-11,2399.14990234375,5656799
2022-03-14,2418.85009765625,3849222
2022-03-15,2363.449951171875,7349740
2022-03-16,2403.35009765625,5145644
2022-03-17,2481.699951171875,9886295
2022-03-21,2467.39990234375,5537752
2022-03-22,2531.14990234375,10410082
2022-03-23,2539.199951171875,7135797
2022-03-24,2578.64990234375,6077153
2022-03-25,2595.85009765625,6563676
2022-03-28,2621.949951171875,4564891
2022-03-29,2622.550048828125,4007695
2022-03-30,2672.949951171875,7297028
2022-03-31,2634.75,6102744
2022-04-01,2655.85009765625,3656408
2022-04-04,2663.699951171875,3659307
2022-04-05,2626.050048828125,6068663
2022-04-06,2619.050048828125,5656703
2022-04-07,2572.85009765625,7151632
2022-04-08,2615.64990234375,6992874
2022-04-11,2610.199951171875,4270816
2022-04-12,2561.050048828125,6099986
2022-04-13,2551.64990234375,4778478
2022-04-18,2543.85009765625,4603103
2022-04-19,2640.800048828125,12064446
2022-04-20,2718.449951171875,11570835
2022-04-21,2782.10009765625,10018531
2022-04-22,2758.800048828125,6947490
2022-04-25,2695.0,7874671
2022-04-26,2775.64990234375,5643066
2022-04-27,2778.35009765625,8924920
2022-04-28,2819.85009765625,11820892
2022-04-29,2790.25,8406156
2022-05-02,2780.449951171875,4369022
2022-05-04,2693.64990234375,8882792
2022-05-05,2640.89990234375,7942721
2022-05-06,2620.64990234375,9068448
2022-05-09,2518.300048828125,8345649
2022-05-10,2474.64990234375,9004636
2022-05-11,2449.300048828125,7681157
2022-05-12,2399.39990234375,9456280
2022-05-13,2426.60009765625,8910998
2022-05-16,2427.199951171875,6201594
2022-05-17,2529.14990234375,7638666
2022-05-18,2538.35009765625,7973235
2022-05-19,2479.85009765625,6783641
2022-05-20,2624.449951171875,10057508
2022-05-23,2606.89990234375,7039144
2022-05-24,2615.85009765625,6243086
2022-05-25,2612.0,5867760
2022-05-26,2587.10009765625,8252551
2022-05-27,2575.10009765625,7624888
2022-05-30,2664.800048828125,6393341
2022-05-31,2632.64990234375,32591420
2022-06-01,2633.5,4512079
2022-06-02,2724.300048828125,10211408
2022-06-03,2779.5,11048210
2022-06-06,2767.550048828125,5119488
2022-06-07,2772.75,5703333
2022-06-08,2724.050048828125,5759172
2022-06-09,2798.75,7973935
2022-06-10,2714.25,8349943
2022-06-13,2662.89990234375,8131998
2022-06-14,2628.10009765625,6790653
2022-06-15,2596.300048828125,5166738
2022-06-16,2560.0,7896943
2022-06-17,2590.0,11286988
2022-06-20,2543.050048828125,5568825
